#{"t_start": 1780448397.6983204, "env_id": "CarRacing-v3"}
r,l,t
-58.333333,1000,43.86884
-49.640288,1000,59.761849
-47.183099,1000,71.473888
-51.724138,1000,82.686899
-58.333333,1000,94.338214
-64.157706,1000,105.477941
-55.555556,1000,116.327735
-58.333333,1000,127.760282
-67.320261,1000,139.990079
-65.635739,1000,151.864987
-64.912281,1000,163.757962
-65.635739,1000,175.496218
-63.087248,1000,186.96872
-61.832061,1000,198.262394
-69.69697,1000,210.521328
-59.349593,1000,221.647181
-70.414201,1000,233.567377
-59.70696,1000,245.210515
-63.333333,1000,256.786427
-54.268293,1000,268.477189
-68.553459,1000,280.093946
-68.75,1000,291.713052
-70.198675,1000,303.073267
-70.394737,1000,314.367067
-80.113636,1000,326.342321
-70.149254,1000,337.808231
-71.119134,1000,349.245607
-75.903614,1000,360.87431
-68.944099,1000,372.807637
-63.235294,1000,383.705208
-70.0,1000,394.36122
-70.779221,1000,405.537934
-72.644377,1000,417.115553
-67.272727,1000,428.277154
-66.442953,1000,439.418617
-73.372781,1000,451.328603
-65.648855,1000,462.523644
-67.42671,1000,473.656967
-63.210702,1000,484.724193
-66.887417,1000,495.883871
-63.414634,1000,506.287752
-58.646617,1000,516.85184
-65.870307,1000,527.16427
-67.272727,1000,538.027344
-59.59596,1000,549.475329
-51.219512,1000,560.701227
-60.0,1000,571.327622
-68.75,1000,582.369646
-59.558824,1000,593.362866
-62.406015,1000,604.302179
-61.24031,1000,615.509335
-74.025974,1000,627.205288
-72.222222,1000,638.609344
-73.063973,1000,649.728974
-70.695971,1000,660.67907
-66.216216,1000,672.080592
-64.912281,1000,683.517035
-53.405018,1000,695.015705
-44.664032,1000,706.775886
-56.666667,1000,718.442638
-67.153285,1000,729.586219
-74.92163,1000,740.874443
-64.912281,1000,751.634612
-74.729242,1000,762.485976
-49.152542,1000,773.401189
-73.154362,1000,784.48677
-72.413793,1000,795.162084
-77.777778,1000,805.846171
-67.741935,1000,816.47077
-68.641115,1000,827.273061
-73.770492,1000,838.262841
-75.15528,1000,849.340835
-65.648855,1000,859.770282
-66.41791,1000,870.224472
-67.741935,1000,881.218513
-68.75,1000,892.431596
-69.230769,1000,903.477221
-51.890034,1000,914.102144
-42.084942,1000,925.198376
-33.554817,1000,936.829949
-41.176471,1000,948.162714
-33.098592,1000,959.460778
-35.483871,1000,970.487507
-40.594059,1000,982.094823
-24.81203,1000,993.7923
-34.210526,1000,1003.963964
-77.272727,1000,1014.920055
-68.085106,1000,1026.205617
-69.072165,1000,1037.289577
-55.631399,1000,1048.52735
-63.934426,1000,1059.861698
-31.464174,1000,1071.120211
-60.0,1000,1081.635473
-73.856209,1000,1093.0319
-35.018051,1000,1103.87575
-51.768489,1000,1115.019392
-63.210702,1000,1126.124933
-60.714286,1000,1136.990981
-62.837838,1000,1147.75471
-58.762887,1000,1158.666159
-65.870307,1000,1169.551925
-55.882353,1000,1180.370518
-68.75,1000,1191.939816
-64.566929,1000,1202.692728
-70.238095,1000,1215.865051
-58.456973,1000,1229.128791
-38.983051,1000,1241.526348
-64.285714,1000,1253.113214
-39.929329,1000,1264.584216
-55.390335,1000,1275.7559
4.247104,1000,1287.155618
-51.492537,1000,1298.841327
-39.058172,1000,1310.921556
-29.530201,1000,1322.097473
-21.768707,1000,1333.059638
-30.40293,1000,1344.324596
-24.460432,1000,1355.275516
-20.138889,1000,1366.4292
-20.962199,1000,1377.400418
-15.540541,1000,1388.584584
-31.271478,1000,1399.783418
-18.566775,1000,1410.961
6.164384,1000,1421.877824
-29.765886,1000,1432.604879
-31.818182,1000,1443.903328
4.868914,1000,1455.078807
-25.650558,1000,1466.093115
-21.348315,1000,1476.149828
-31.25,1000,1487.619226
-10.958904,1000,1498.513112
5.633803,1000,1509.651921
36.0,1000,1520.59003
22.222222,1000,1531.794521
-25.795053,1000,1542.885984
-18.032787,1000,1554.037124
-15.492958,1000,1565.121189
-34.328358,1000,1576.699252
29.770992,1000,1588.128203
33.079848,1000,1599.509655
-27.444795,1000,1610.802867
-15.789474,1000,1621.848252
-28.571429,1000,1632.979518
-24.914676,1000,1644.118319
40.28777,1000,1655.535009
-22.535211,1000,1666.412504
-17.322835,1000,1677.152757
-25.675676,1000,1688.427273
